location,distance(kpc),SMA(au),eccentricity,m1/m_sun,m2/m_sun,SNR(10yr)
ngc6638,7.8,8.2492121,0.94415926,13.427671,27.707061,3.469660030189975e-09
ngc6656,3.1,0.49293319,0.23418534,16.59354,13.781459,3.2711575755223366e-09
ngc6388,10.9,0.71602526,0.44413607,16.195164,13.927138,2.4344809371485357e-09
ngc6229,28.3,1.2102519,0.6809448,14.741909,14.209201,2.3056584345961363e-09
ngc6715,25.4,1.7006906,0.74820416,20.539028,14.228965,1.8024417482990619e-09
IC1276,8.9,3.4793638,0.86490489,16.693051,19.337564,1.6348189359675615e-09
IC1276,8.9,3.4793638,0.86490489,16.693051,19.337564,1.6348189359675615e-09
ngc7089,11.1,3.5945723,0.88262097,14.982557,13.617763,1.3717174885444815e-09
ngc6402,8.4,1.3153219,0.67724468,14.828157,12.895357,1.2540033796850946e-09
ngc6402,8.4,1.3153219,0.67724468,14.828157,12.895357,1.2540033796850946e-09
ngc6779,9.7,1.0141862,0.59074556,13.461638,14.432596,1.1613193367468147e-09
Djor2,13.2,3.5945723,0.88262097,14.982557,13.617763,1.1534897062760412e-09
ngc5272,9.7,0.49293319,0.23418534,16.59354,13.781459,1.0454214932081695e-09
ngc5986,10,0.49293319,0.23418534,16.59354,13.781459,1.0140588484119244e-09
ngc2419,90.4,1.5403198,0.7290654,17.612692,18.386736,1.008055829315068e-09
ngc6539,7.5,1.2841522,0.66781916,13.165612,13.467272,9.617270747062999e-10
ngc7078,10,1.3894163,0.64236622,18.493715,19.435495,6.171987536705108e-10
ngc6779,9.7,1.981149,0.76466093,13.975247,17.13311,6.129753044947265e-10
ngc6626,5.5,1.8550592,0.79207484,8.8561688,9.3064188,5.149632182060507e-10
ngc6656,3.1,0.83470585,0.44969583,17.170748,12.732508,4.3692300880843986e-10
ngc2419,90.4,0.98303336,0.55364396,18.491037,19.746684,4.0938017623816834e-10
ngc6541,7.2,1.8550592,0.79207484,8.8561688,9.3064188,3.9337468057406657e-10
ngc6809,5.1,43.154292,0.98937546,17.273173,14.154245,3.75311545802626e-10
ngc6809,5.1,43.154292,0.98937546,17.273173,14.154245,3.75311545802626e-10
ngc7006,39.5,8.6695739,0.95138568,16.98668,13.39438,3.6210377028806644e-10
ngc6626,5.5,1.1936729,0.70838807,5.6732646,7.8834783,3.2568828496652116e-10
pal_6,6.2,1.6335356,0.77792984,7.4938218,7.4915867,3.243276471366173e-10
ngc6139,9.1,1.8550592,0.79207484,8.8561688,9.3064188,3.1124150550915157e-10
ngc6139,9.1,1.8550592,0.79207484,8.8561688,9.3064188,3.1124150550915157e-10
ngc6139,9.1,1.8550592,0.79207484,8.8561688,9.3064188,3.1124150550915157e-10
ngc4372,4.6,1.6134216,0.68507707,13.970365,18.539593,2.5800394559485426e-10
ngc6266,6.6,0.56502764,0.2449159,16.022712,16.27012,2.945394678068321e-10
ngc6266,6.6,0.56502764,0.2449159,16.022712,16.27012,2.945394678068321e-10
ngc6517,10.1,1.8550592,0.79207484,8.8561688,9.3064188,2.804255148646811e-10
ngc6517,10.1,1.8550592,0.79207484,8.8561688,9.3064188,2.804255148646811e-10
ngc6517,10.1,1.8550592,0.79207484,8.8561688,9.3064188,2.804255148646811e-10
ngc5466,16.3,2.4201325,0.79177103,17.52254,18.207908,2.657316973069406e-10
ngc5466,16.3,2.4201325,0.79177103,17.52254,18.207908,2.657316973069406e-10
ngc6402,8.4,0.45110894,0.14122297,14.604722,16.652515,2.2892874122761914e-10
ngc5024,18.1,1.3346343,0.68410399,13.267612,10.708598,2.0981974539281614e-10
ngc2808,8.9,0.95912982,0.49192943,13.665796,20.557681,2.0296167536858566e-10
ngc6139,9.1,1.1936729,0.70838807,5.6732646,7.8834783,1.9684456783690838e-10
ngc6712,6.4,1.5353261,0.66546231,16.1894,16.448587,1.661395494912199e-10
ngc6316,10.9,1.1936729,0.70838807,5.6732646,7.8834783,1.643381254418226e-10
ngc5986,10,0.83471028,0.44969782,17.170748,12.732508,1.354577402405633e-10
Ton2,8.2,2.3342617,0.78519874,15.664093,14.117984,1.3080618608838825e-10
Ton2,8.2,2.3342617,0.78519874,15.664093,14.117984,1.3080618608838825e-10
ngc7089,11.1,0.83470585,0.44969583,17.170748,12.732508,1.2202354300055526e-10
ngc6749,9.7,2.3342617,0.78519874,15.664093,14.117984,1.1057842535307049e-10
ngc6749,9.7,2.3342617,0.78519874,15.664093,14.117984,1.1057842535307049e-10
ngc6749,9.7,2.3342617,0.78519874,15.664093,14.117984,1.1057842535307049e-10
ngc6749,9.7,2.3342617,0.78519874,15.664093,14.117984,1.1057842535307049e-10
ngc6749,9.7,2.3342617,0.78519874,15.664093,14.117984,1.1057842535307049e-10
ngc6749,9.7,2.3342617,0.78519874,15.664093,14.117984,1.1057842535307049e-10
ngc6749,9.7,2.3342617,0.78519874,15.664093,14.117984,1.1057842535307049e-10
ngc6101,14.7,11.232019,0.95274932,17.90285,19.152047,1.044310613205949e-10
ngc6101,14.7,11.232019,0.95274932,17.90285,19.152047,1.044310613205949e-10
Djor2,13.2,0.83471028,0.44969782,17.170748,12.732508,1.0261950018224494e-10
Djor2,13.2,0.83470585,0.44969583,17.170748,12.732508,1.0261070661410328e-10
ngc5053,16,7.6187673,0.9288142,19.040015,19.242715,1.0246225661392502e-10
ngc104,4.1,2.5172708,0.76970336,19.055384,18.45329,9.571141046286712e-11
ngc6441,9.2,1.6137116,0.65868126,19.605689,18.04307,7.530458749010787e-11
ngc6712,6.4,3.9253116,0.86205688,15.60287,17.222719,8.973339034831322e-11
ngc6496,10.9,3.294803,0.84480437,14.76741,15.170365,7.987322169393423e-11
ngc6388,10.9,1.0892084,0.52303066,17.811724,18.753754,7.649139745742157e-11
ngc5024,18.1,0.74915812,0.43391875,14.431527,10.219846,7.552552282566746e-11
ngc6723,8.2,3.9253116,0.86205688,15.60287,17.222719,7.003581685722006e-11
ngc6723,8.2,3.9253116,0.86205688,15.60287,17.222719,7.003581685722006e-11
ngc5466,16.3,4.5403632,0.87807172,17.868206,19.444399,6.693769807293982e-11
ngc5024,18.1,1.0155637,0.52770731,16.454392,14.555841,6.635009268418763e-11
ngc6626,5.5,0.8756476,0.52794486,10.913817,8.1879279,6.594297831981997e-11
ngc6402,8.4,0.66890032,0.35679606,11.716495,13.329544,6.002636116143034e-11
ngc6402,8.4,0.66890032,0.35679606,11.716495,13.329544,6.002636116143034e-11
ngc6541,7.2,0.8756476,0.52794486,10.913817,8.1879279,5.0373108438751364e-11
ngc6541,7.2,0.8756476,0.52794486,10.913817,8.1879279,5.0373108438751364e-11
ngc6440,7.5,0.8756476,0.52794486,10.913817,8.1879279,4.835818410120131e-11
ngc6553,4.1,1.5879058,0.73731727,7.90063,7.8894614,4.734679296726951e-11
ngc6553,4.1,1.5879058,0.73731727,7.90063,7.8894614,4.734679296726951e-11
ngc6171,6,2.9606818,0.82801805,13.270554,12.756874,4.5932292661493255e-11
ngc6171,6,2.9606818,0.82801805,13.270554,12.756874,4.5932292661493255e-11
ngc6139,9.1,0.8756476,0.52794486,10.913817,8.1879279,3.985564623725382e-11
ngc2419,90.4,0.5827241,0.25536257,14.604498,20.898007,3.928881619930518e-11
ngc6779,9.7,1.1887934,0.56570039,17.13311,13.975247,3.844939177884898e-11
ngc6401,7.2,2.9606818,0.82801805,13.270554,12.756874,3.8276910551244375e-11
ngc6388,10.9,2.5172708,0.76970336,19.055384,18.45329,3.6001539715390385e-11
IC4499,17.6,2.6180487,0.78323429,20.777848,16.835187,3.581148203857028e-11
ngc6637,7.8,2.9606818,0.82801805,13.270554,12.756874,3.533253281653327e-11
ngc6637,7.8,2.9606818,0.82801805,13.270554,12.756874,3.533253281653327e-11
ngc6715,25.4,1.6137116,0.65868126,19.605689,18.04307,2.7275677358621745e-11
pal_6,6.2,1.5879058,0.73731727,7.90063,7.8894614,3.130997599448468e-11
pal_6,6.2,1.5879058,0.73731727,7.90063,7.8894614,3.130997599448468e-11
ngc6715,25.4,1.1057102,0.51019926,19.444256,20.025417,2.750996426282511e-11
ngc6715,25.4,1.1057102,0.51019926,19.444256,20.025417,2.750996426282511e-11
ngc6441,9.2,1.0562624,0.48475394,18.60969,18.818441,2.6390827123013365e-11
ngc7006,39.5,1.4455413,0.65524354,14.232399,16.360091,2.385146196376014e-11
ngc6553,4.1,1.640936,0.73528974,7.576586,8.0701247,1.904312764265106e-11
ngc5824,32.2,2.2177041,0.79236443,9.2499391,12.601435,1.4379868481513823e-11
ngc6496,10.9,1.394604,0.60398293,16.1894,16.448587,1.4184800386115266e-11
ngc6539,7.5,3.0812056,0.80733524,16.233542,16.578675,9.43644081576612e-12
ngc6402,8.4,3.0812056,0.80733524,16.233542,16.578675,8.425393585505466e-12
ngc6266,6.6,2.1349434,0.70752775,19.284826,17.99316,7.462426879974259e-12
IC1276,8.9,2.0249192,0.69671811,16.994594,20.16041,6.999259775191852e-12
ngc6144,9.8,2.0249192,0.69671811,16.994594,20.16041,6.3564706121640296e-12
ngc1261,15.2,1.3115622,0.6189503,12.298654,12.044523,5.902430485086544e-12
ngc1261,15.2,1.3115622,0.6189503,12.298654,12.044523,5.902430485086544e-12
ngc1261,15.2,1.3115622,0.6189503,12.298654,12.044523,5.902430485086544e-12
ngc5824,32.2,0.88645485,0.46448669,13.066553,12.699006,5.455134893253393e-12
ngc7006,39.5,4.127739,0.86459265,15.415236,14.740621,3.635230722153705e-12
ngc5824,32.2,0.6632629,0.34688092,12.621671,9.6390689,3.630268782703628e-12
ngc6144,9.8,2.1605421,0.72326663,15.555604,16.651488,3.5240246179874794e-12
ngc6144,9.8,2.1605421,0.72326663,15.555604,16.651488,3.5240246179874794e-12
ngc6712,6.4,7.2078158,0.91160945,16.950635,17.234135,3.3264107288706242e-12
ngc6712,6.4,7.2078158,0.91160945,16.950635,17.234135,3.3264107288706242e-12
ngc6101,14.7,11.864526,0.9494547,19.152047,13.794722,3.4207121266080644e-12
ngc6656,3.1,0.81901555,0.36224262,14.169977,13.447108,3.1895017379099095e-12
ngc7006,39.5,6.4141964,0.91081433,15.583999,15.552683,2.729726621771534e-12
ngc6553,4.1,0.60452168,0.32821132,8.089917,7.5395583,2.5897073770474025e-12
ngc6441,9.2,0.85994999,0.35334511,17.400906,18.693321,2.0695559693502866e-12
ngc6496,10.9,7.2078158,0.91160945,16.950635,17.234135,1.9531218958506415e-12
ngc6205,6.8,14.093563,0.15729026,26.285847,13.352658,7.671477123453803e-14
ngc6266,6.6,0.54575437,0.15734693,17.832046,14.4228,1.8141348212577029e-12
ngc4372,4.6,7.5446142,0.82416797,18.139765,18.734094,7.095429319759789e-14
ngc7078,10,0.69014301,0.23236318,17.965938,19.140029,1.434775319193165e-12
ngc5139,4.9,10.23956,0.40212921,15.373783,42.025509,5.738668032308467e-14
ngc6121,2.1,21.495661,0.66758168,13.357888,10.200481,5.374721761439767e-14
ngc6121,2.1,21.495661,0.66758168,13.357888,10.200481,5.374721761439767e-14
ngc3201,4.9,6.9237815,0.71457991,14.815934,16.192687,5.169276571688215e-14
ngc6712,6.4,14.970855,0.40293083,17.267064,14.76741,4.804110885139715e-14
ngc6712,6.4,12.306304,0.3396944,13.309968,15.276383,4.292674605733342e-14
ngc5272,9.7,0.81901555,0.36224262,14.169977,13.447108,1.0193252976825483e-12
ngc5272,9.7,0.81901555,0.36224262,14.169977,13.447108,1.0193252976825483e-12
ngc5272,9.7,0.81901189,0.36224095,14.169977,13.447108,1.0192262306611455e-12
ngc5139,4.9,7.614542,0.44978594,18.784612,15.542956,4.186038122923148e-14
ngc6656,3.1,6.9800919,0.36042531,14.94163,12.780212,3.986697423975332e-14
ngc6254,4.1,23.553944,0.6835075,16.211457,13.460619,3.962570494366827e-14
ngc6254,4.1,23.553944,0.6835075,16.211457,13.460619,3.962570494366827e-14
ngc6388,10.9,12.297502,0.26383477,14.634618,18.229969,3.9088713331792415e-14
ngc6539,7.5,14.787344,0.40221615,16.37523,14.04023,3.727795283488854e-14
ngc3201,4.9,8.4655937,0.90010161,16.379754,15.179079,3.716454234459405e-14
ngc4372,4.6,7.1861245,0.59492769,13.3968,14.272776,3.696817108732058e-14
ngc6362,7.2,7.123773,0.68400835,14.275684,18.540865,3.694303076922155e-14
ngc4372,4.6,23.431135,0.53249988,13.940684,19.735091,3.636652773660412e-14
ngc6809,5.1,8.8954571,0.86961854,17.739735,14.955116,3.584216399085375e-14
ngc104,4.1,9.6600591,0.60446696,13.949125,18.450737,3.490510641594775e-14
ngc6402,8.4,14.787344,0.40221615,16.37523,14.04023,3.328388645972191e-14
ngc288,8.1,7.123773,0.68400835,14.275684,18.540865,3.283824957264138e-14
ngc6366,3.4,24.698367,0.8186297,16.156743,12.516859,3.282707702128128e-14
ngc6366,3.4,24.698367,0.8186297,16.156743,12.516859,3.282707702128128e-14
ngc6366,3.4,24.698367,0.8186297,16.156743,12.516859,3.282707702128128e-14
ngc6366,3.4,24.698367,0.8186297,16.156743,12.516859,3.282707702128128e-14
ngc6366,3.4,24.698367,0.8186297,16.156743,12.516859,3.282707702128128e-14
ngc6366,3.4,24.698367,0.8186297,16.156743,12.516859,3.282707702128128e-14
ngc6366,3.4,24.698367,0.8186297,16.156743,12.516859,3.282707702128128e-14
ngc6366,3.4,24.698367,0.8186297,16.156743,12.516859,3.282707702128128e-14
ngc6366,3.4,24.698367,0.8186297,16.156743,12.516859,3.282707702128128e-14
ngc6366,3.4,24.698367,0.8186297,16.156743,12.516859,3.282707702128128e-14
ngc6441,9.2,34.019135,0.689419,36.604936,15.757886,3.2448810944894e-14
ngc6539,7.5,1.6488578,0.64520143,14.219756,12.857669,7.402429936523916e-13
ngc4372,4.6,23.156291,0.69679306,13.3968,14.272776,3.1024516071566683e-14
ngc4372,4.6,23.156291,0.69679306,13.3968,14.272776,3.1024516071566683e-14
ngc6496,10.9,8.8282277,0.83344792,17.234684,25.871215,3.097512259484514e-14
ngc6401,7.2,6.767765,0.68391202,13.477486,15.321728,3.051306901736362e-14
ngc5897,12.4,15.292136,0.55216452,19.84517,17.872303,3.030632149079047e-14
ngc6809,5.1,13.215015,0.57068748,16.356166,16.545097,3.0175283796416515e-14
ngc6809,5.1,13.215015,0.57068748,16.356166,16.545097,3.0175283796416515e-14
ngc6218,5.4,23.553944,0.6835075,16.211457,13.460619,3.0086183383155535e-14
ngc6218,5.4,23.553944,0.6835075,16.211457,13.460619,3.0086183383155535e-14
ngc6218,5.4,23.553944,0.6835075,16.211457,13.460619,3.0086183383155535e-14
ngc6144,9.8,3.2658951,0.7919435,16.994594,20.16041,7.162702050553505e-13
ngc4833,5.7,7.1861245,0.59492769,13.3968,14.272776,2.9833962631872755e-14
ngc4833,5.7,7.1861245,0.59492769,13.3968,14.272776,2.9833962631872755e-14
ngc6752,3.8,21.495661,0.66758168,13.357888,10.200481,2.970240973427239e-14
ngc6752,3.8,21.495661,0.66758168,13.357888,10.200481,2.970240973427239e-14
ngc4833,5.7,23.431135,0.53249988,13.940684,19.735091,2.934842589269806e-14
ngc104,4.1,12.450643,0.92434067,14.484636,17.486323,2.8533333220993784e-14
ngc6637,7.8,6.767765,0.68391202,13.477486,15.321728,2.816590986218181e-14
ngc6273,8.3,1.6488578,0.64520143,14.219756,12.857669,6.68894271372643e-13
ngc4372,4.6,15.514021,0.94090827,17.401543,17.87054,2.547301723575577e-14
ngc4372,4.6,15.514021,0.94090827,17.401543,17.87054,2.547301723575577e-14
ngc3201,4.9,37.576413,0.78443897,13.656513,17.23003,2.4904510984709353e-14
pal_10,10.6,8.3682408,0.83634623,18.734932,17.525708,2.4651485221991787e-14
pal_10,10.6,8.3682408,0.83634623,18.734932,17.525708,2.4651485221991787e-14
pal_10,10.6,8.3682408,0.83634623,18.734932,17.525708,2.4651485221991787e-14
ngc6441,9.2,17.550593,0.23991894,17.610339,17.486323,2.462605812449928e-14
ngc6266,6.6,9.8011841,0.73791638,19.16144,14.062659,2.4052740644463695e-14
ngc3201,4.9,10.078875,0.89065088,16.376294,13.243276,2.3652717756185408e-14
ngc6760,6.9,23.553944,0.6835075,16.211457,13.460619,2.3545708734643455e-14
ngc6760,6.9,23.553944,0.6835075,16.211457,13.460619,2.3545708734643455e-14
ngc5927,7,23.553944,0.6835075,16.211457,13.460619,2.32093414670057e-14
ngc5466,16.3,9.4504393,0.84356786,30.058718,18.168616,2.3101477603024543e-14
ngc5466,16.3,9.4504393,0.84356786,30.058718,18.168616,2.3101477603024543e-14
pal_11,11.9,7.123773,0.68400835,14.275684,18.540865,2.235208584356262e-14
ngc6402,8.4,1.0040544,0.43552838,14.84753,14.872781,5.294394907332975e-13
ngc6402,8.4,1.0040544,0.43552838,14.84753,14.872781,5.294394907332975e-13
ngc3201,4.9,12.03741,0.62749245,14.907273,15.729059,2.2152674321041196e-14
Ton2,8.2,19.348835,0.59075976,13.726456,14.117984,2.2002202009206993e-14
Ton2,8.2,19.348835,0.59075976,13.726456,14.117984,2.2002202009206993e-14
Ton2,8.2,19.348835,0.59075976,13.726456,14.117984,2.2002202009206993e-14
Ton2,8.2,19.348835,0.59075976,13.726456,14.117984,2.2002202009206993e-14
Ton2,8.2,19.348835,0.59075976,13.726456,14.117984,2.2002202009206993e-14
Ton2,8.2,19.348835,0.59075976,13.726456,14.117984,2.2002202009206993e-14
Ton2,8.2,19.348835,0.59075976,13.726456,14.117984,2.2002202009206993e-14
Ton2,8.2,19.348835,0.59075976,13.726456,14.117984,2.2002202009206993e-14
ngc5139,4.9,12.554612,0.70075059,19.608081,21.385334,2.151192789548609e-14
ngc1261,15.2,1.0160061,0.38050824,28.193394,15.227818,4.99954467247224e-13
ngc1261,15.2,1.0160061,0.38050824,28.193394,15.227818,4.99954467247224e-13
ngc1261,15.2,1.0160061,0.38050824,28.193394,15.227818,4.99954467247224e-13
ngc6809,5.1,14.229787,0.93282453,16.550391,16.841354,2.071934850888067e-14
ngc6584,12.5,6.9237815,0.71457991,14.815934,16.192687,2.02635641610178e-14
IC1276,8.9,21.470432,0.77077317,16.904544,18.170726,2.000499389947083e-14
IC1276,8.9,21.470432,0.77077317,16.904544,18.170726,2.000499389947083e-14
IC1276,8.9,21.470432,0.77077317,16.904544,18.170726,2.000499389947083e-14
IC1276,8.9,11.131459,0.82968324,17.485644,20.369518,1.9568110619387694e-14
ngc6712,6.4,8.9892113,0.64959185,15.188961,13.042022,1.953459321173326e-14
IC1276,8.9,8.4378429,0.55616602,16.604023,15.534874,1.9419856450474812e-14
ngc4372,4.6,11.560489,0.63045195,13.786807,13.395964,1.8954036862591947e-14
ngc6749,9.7,19.348835,0.59075976,13.726456,14.117984,1.859979963664921e-14
ngc6749,9.7,19.348835,0.59075976,13.726456,14.117984,1.859979963664921e-14
ngc6749,9.7,19.348835,0.59075976,13.726456,14.117984,1.859979963664921e-14
ngc6144,9.8,21.470432,0.77077317,16.904544,18.170726,1.816780058217249e-14
ngc2808,8.9,9.8011841,0.73791638,19.16144,14.062659,1.7836863848703413e-14
ngc6144,9.8,11.131459,0.82968324,17.485644,20.369518,1.7771039235974536e-14
ngc6144,9.8,8.4378429,0.55616602,16.604023,15.534874,1.7636400245839372e-14
ngc6496,10.9,19.86276,0.63476692,16.666488,12.541164,1.7323399546276628e-14
ngc6809,5.1,33.701635,0.86280695,13.868276,14.085901,1.7320639738024633e-14
ngc6809,5.1,33.701635,0.86280695,13.868276,14.085901,1.7320639738024633e-14
ngc6809,5.1,33.701635,0.86280695,13.868276,14.085901,1.7320639738024633e-14
ngc4590,9.9,7.1861245,0.59492769,13.3968,14.272776,1.717713000016916e-14
ngc4590,9.9,21.59958,0.79736038,18.139765,18.713756,1.6891263650748082e-14
ngc6362,7.2,10.480588,0.91091973,14.983102,16.193424,1.6807155653973634e-14
ngc6362,7.2,10.480588,0.91091973,14.983102,16.193424,1.6807155653973634e-14
ngc6362,7.2,10.480588,0.91091973,14.983102,16.193424,1.6807155653973634e-14
ngc6362,7.2,10.480588,0.91091973,14.983102,16.193424,1.6807155653973634e-14
ngc6362,7.2,10.480588,0.91091973,14.983102,16.193424,1.6807155653973634e-14
ngc6441,9.2,1.5000159,0.56802609,19.399283,16.59853,3.9090713997041505e-13
ngc6441,9.2,27.749932,0.7765678,19.728788,13.523709,1.89034318442877e-14
pal_10,10.6,7.0261117,0.60771376,13.742579,13.490476,1.6301864939069487e-14
pal_10,10.6,7.0261117,0.60771376,13.742579,13.490476,1.6301864939069487e-14
pal_10,10.6,7.0261117,0.60771376,13.742579,13.490476,1.6301864939069487e-14
ngc6101,14.7,23.272207,0.68167952,18.033749,16.598707,1.6107912004634063e-14
ngc6101,14.7,23.272207,0.68167952,18.033749,16.598707,1.6107912004634063e-14
ngc6101,14.7,23.272207,0.68167952,18.033749,16.598707,1.6107912004634063e-14
ngc6101,14.7,23.272207,0.68167952,18.033749,16.598707,1.6107912004634063e-14
ngc6101,14.7,23.272207,0.68167952,18.033749,16.598707,1.6107912004634063e-14
ngc6101,14.7,23.272207,0.68167952,18.033749,16.598707,1.6107912004634063e-14
IC4499,17.6,14.588545,0.40174061,14.363208,15.747036,1.5960205913484416e-14
ngc4590,9.9,9.8323713,0.683129,19.735091,13.82768,1.5842532314702367e-14
ngc6402,8.4,12.888356,0.48665527,11.519528,14.17221,1.5741662570914384e-14
ngc6496,10.9,13.975346,0.67730696,13.147275,16.874559,1.5593958394551098e-14
ngc6441,9.2,9.6600591,0.60446696,13.949125,18.450737,1.5555536554933236e-14
ngc6539,7.5,22.812567,0.71966651,13.55809,11.751556,1.5429146630868814e-14
ngc4833,5.7,11.560489,0.63045195,13.786807,13.395964,1.52962402750742e-14
ngc3201,4.9,12.298454,0.63927633,12.826509,14.651297,1.526012209258801e-14
ngc6723,8.2,8.9892113,0.64959185,15.188961,13.042022,1.5246511775011327e-14
ngc7078,10,1.5000159,0.56802609,19.399283,16.59853,3.596345687727818e-13
ngc288,8.1,10.480588,0.91091973,14.983102,16.193424,1.4939693914643226e-14
ngc5897,12.4,46.500487,0.87306639,21.350421,21.725168,1.4720597706460776e-14
ngc6584,12.5,8.4655937,0.90010161,16.379754,15.179079,1.456850059908087e-14
ngc6584,12.5,8.4655937,0.90010161,16.379754,15.179079,1.456850059908087e-14
ngc6584,12.5,8.4655937,0.90010161,16.379754,15.179079,1.456850059908087e-14
ngc6388,10.9,9.8011841,0.73791638,19.16144,14.062659,1.4564044793895448e-14
ngc104,4.1,93.323094,0.92353314,14.11432,16.151252,1.4430767763958654e-14
ngc4590,9.9,23.156291,0.69679306,13.3968,14.272776,1.4415431710020883e-14
ngc6144,9.8,27.754727,0.72397725,13.824059,14.76998,1.3694114366745738e-14
ngc6723,8.2,7.954271,0.40306846,14.828717,13.321049,1.3675856673748488e-14
ngc6723,8.2,7.954271,0.40306846,14.828717,13.321049,1.3675856673748488e-14
ngc6723,8.2,7.954271,0.40306846,14.828717,13.321049,1.3675856673748488e-14
ngc6723,8.2,7.954271,0.40306846,14.828717,13.321049,1.3675856673748488e-14
ngc3201,4.9,17.954366,0.94506228,16.157334,13.656513,1.3645583695819891e-14
ngc7006,39.5,4.461983,0.8597018,14.994473,16.195319,3.240676035661139e-13
ngc1261,15.2,7.1352759,0.69962834,14.741909,14.067923,1.3334811949772008e-14
ngc5053,16,6.4295361,0.89048522,19.040015,19.242715,3.160796077980631e-13
ngc5053,16,6.4295361,0.89048522,19.040015,19.242715,3.160796077980631e-13
ngc6144,9.8,13.072539,0.56451563,15.790884,13.865543,1.3033296965611943e-14
ngc6362,7.2,8.8898637,0.29390106,16.971353,14.804332,1.2778313166155285e-14
ngc6101,14.7,13.10346,0.92927093,20.321561,20.262546,1.2748418477841702e-14
ngc5272,9.7,6.9800919,0.36042531,14.94163,12.780212,1.2740991767343845e-14
ngc5272,9.7,6.9800919,0.36042531,14.94163,12.780212,1.2740991767343845e-14
ngc6441,9.2,12.450643,0.92434067,14.484636,17.486323,1.2715941978921144e-14
ngc6809,5.1,17.082794,0.7763252,17.263123,13.897258,1.2507537402788423e-14
ngc6809,5.1,17.082794,0.7763252,17.263123,13.897258,1.2507537402788423e-14
ngc288,8.1,12.508191,0.89509331,16.971353,14.263144,1.224961453670449e-14
ngc288,8.1,12.508191,0.89509331,16.971353,14.263144,1.224961453670449e-14
ngc6362,7.2,9.5882559,0.50329964,13.652417,13.427982,1.2233578214530777e-14
ngc6362,7.2,9.5882559,0.50329964,13.652417,13.427982,1.2233578214530777e-14
ngc5466,16.3,12.197031,0.60232586,18.271694,19.153644,1.2082567486099207e-14
ngc5466,16.3,12.197031,0.60232586,18.271694,19.153644,1.2082567486099207e-14
ngc6441,9.2,10.823822,0.91352119,15.112658,13.287782,1.2066900336965852e-14
ngc7089,11.1,8.821685,0.61505105,15.302602,13.617763,1.2002412654376896e-14
Rup106,20.3,7.3584587,0.81407657,16.824255,14.812577,1.1872003564065071e-14
Rup106,20.3,7.3584587,0.81407657,16.824255,14.812577,1.1872003564065071e-14
Rup106,20.3,7.3584587,0.81407657,16.824255,14.812577,1.1872003564065071e-14
Rup106,20.3,7.3584587,0.81407657,16.824255,14.812577,1.1872003564065071e-14
ngc4590,9.9,15.514021,0.94090827,17.401543,17.87054,1.183594740247238e-14
ngc5897,12.4,10.296506,0.60735088,16.597761,17.481026,1.1813988035672647e-14
ngc6101,14.7,13.864831,0.54066627,17.124311,16.579118,1.1795531328411557e-14
ngc5053,16,8.0336685,0.51905212,15.688633,17.122891,1.1781999725434555e-14
ngc5053,16,8.0572231,0.51661543,15.688633,17.122891,1.168436754157818e-14
Djor1,8.8,26.824712,0.82165739,13.448603,13.48272,1.14917879195502e-14
ngc288,8.1,8.8898637,0.29390106,16.971353,14.804332,1.1358500592138031e-14
ngc288,8.1,8.8898637,0.29390106,16.971353,14.804332,1.1358500592138031e-14
IC4499,17.6,11.707889,0.5251325,17.117256,13.519566,1.1299793385157106e-14
IC4499,17.6,11.707889,0.5251325,17.117256,13.519566,1.1299793385157106e-14
ngc6934,14.4,23.553944,0.6835075,16.211457,13.460619,1.1282318768683324e-14
IC4499,17.6,9.3806996,0.66257282,17.02116,18.45465,1.1161785611725034e-14
IC4499,17.6,9.3806996,0.66257282,17.02116,18.45465,1.1161785611725034e-14
pal_10,10.6,41.990528,0.86032825,16.29928,15.655193,1.1088760350129896e-14
pal_10,10.6,41.990528,0.86032825,16.29928,15.655193,1.1088760350129896e-14
pal_10,10.6,41.990528,0.86032825,16.29928,15.655193,1.1088760350129896e-14
ngc6101,14.7,10.49494,0.87554587,17.970161,17.124311,1.096223725664271e-14
ngc6101,14.7,10.49494,0.87554587,17.970161,17.124311,1.096223725664271e-14
ngc288,8.1,9.5882559,0.50329964,13.652417,13.427982,1.0874291746249578e-14
ngc288,8.1,9.5882559,0.50329964,13.652417,13.427982,1.0874291746249578e-14
ngc4833,5.7,21.211509,0.92103783,17.769213,18.018511,1.0494440991485578e-14
ngc4833,5.7,21.211509,0.92103783,17.769213,18.018511,1.0494440991485578e-14
ngc5053,16,11.122226,0.86337631,19.352239,17.947548,1.0483606040999071e-14
ngc6496,10.9,7.954271,0.40306846,14.828717,13.321049,1.0288259149058495e-14
pal_11,11.9,10.480588,0.91091973,14.983102,16.193424,1.0169035353664719e-14
pal_11,11.9,10.480588,0.91091973,14.983102,16.193424,1.0169035353664719e-14
Djor2,13.2,8.821685,0.61505105,15.302602,13.617763,1.0092937913907844e-14
ngc6539,7.5,15.915628,0.95142252,12.35224,16.652515,1.0073524017845187e-14
ngc5897,12.4,12.277152,0.68201132,21.319929,18.850107,9.959817156523888e-15
ngc5897,12.4,12.277152,0.68201132,21.319929,18.850107,9.959817156523888e-15
ngc5897,12.4,32.354413,0.5897663,19.102632,19.282046,9.946695885069625e-15
IC4499,17.6,9.0927386,0.82962502,15.781856,16.443222,9.86691948737216e-15
